item_code,pack_type,name,units_per_box,pieces_per_unit,mrp_per_piece,section_code
30,JAR,2/- SOAN PAPIDI (8),8,8,2.0,S-5
73,PACK,5/- POOSA UNDA (40),40,40,5.0,
31,JAR,5/- SOAN PAPIDI (8),6,8,5.0,S-5
74,JAR,5/- PALLI VUNDALU (50) 8,8,50,5.0,
32,JAR,5/- BADAM PAPIDI (8),8,8,5.0,S-5
75,JAR,5/- NOOGU UNDALU (8J),8,8,5.0,
33,JAR,5/- HALWA (8),8,8,5.0,S-5
76,JAR,5/- BOONDI UNDALU (50) 6,6,50,5.0,
34,LB,5/- SOAN PAPIDI (12) 30,30,12,5.0,
77,PACK,5/- SSP PALLIUNDALU (12) 50,50,12,5.0,
35,LB,5/- HALWA (12) 30,30,12,5.0,
77A,PACK,5/- AVISA UNDALU,60,1,5.0,
36,JAR,5/- BADAM PAPIDI (60) 6,6,60,5.0,S-5
78,JAR,5/- RAVVA LADDU (8),8,8,5.0,S-3
37,JAR,5/- SP SOAN PAPIDI (50) 8,6,50,5.0,S-5
79,LB,5/- RAVVA LADDU (12) 21,21,12,5.0,S-3
37A,KG,TOP (8KG),8,1,,
80,JAR,1/- SUNNI VUNDALU (15J),15,15,1.0,S-11
37B,KG,LOOSE BADAM PAPIDI (40G),9,40,,
81,JAR,2/- SUNNUNDA (8J),8,8,2.0,S-11
38,JAR,5/- BADAM BURFI (8),8,8,5.0,S-4
82,JAR,5/- SUNNUNDALU (8),8,8,5.0,S-11
39,JAR,5/- KAJU BURFI (8),8,8,5.0,S-4
82A,JAR,5/- SUNNUNDA (6),6,6,5.0,S-11
40,JAR,5/- D/M BURFI (8),8,8,5.0,S-4
83,LB,5/- SUNNI VUNDALU (12) 21,21,12,5.0,S-11
41,JAR,5/- D/C BURFI (8),8,8,5.0,S-4
83A,JAR,1/- SUNNI VUNDALU (80) 22,22,80,1.0,S-11
42,JAR,5/- MIXING BURFI (8),8,8,5.0,S-4
83B,JAR,2/- SUNNI VUNDALU (40) 15,15,40,2.0,S-11
83C,LB,10/- SUNNUNDA (8),20,8,10.0,
113,JAR,1/- CHAKRALU (FLOWER) 6,6,1,1.0,S-8
84,JAR,5/- PALAKOVA (12),12,12,5.0,
114,JAR,1/- CHAKRALU (GARUKU) 6,6,1,1.0,S-8
85,LB,1/- PALAKOVA (75) 24,24,75,1.0,
115,JAR,1/- CHAKRALU (VAMU) 6,6,1,1.0,S-8
86,LB,1/- PALAKOVA (48),48,48,1.0,
116,JAR,5/- CHAKRALU (FLOWER) 6,6,1,5.0,S-8
87,JAR,5/- PALA KOVA (8),8,8,5.0,
117,JAR,5/- CHAKRALU (GARUKU-40) 6,6,1,5.0,S-8
88,JAR,5/- KOVA LADDU (8),8,8,5.0,
118,JAR,5/- CHAKRALU (VAMU),6,1,5.0,S-8
89,JAR,5/- BULLET (8),8,8,5.0,
119,JAR,1/- CHEKODI (6),6,6,1.0,S-8
90,JAR,5/- B.L.D (8),8,8,5.0,
119A,JAR,1/- GATIYA CHAKARALU (6),6,6,1.0,S-8
91,JAR,1/- PALA KOVA (95) 15,15,95,1.0,
119B,JAR,1/- CHAKARALU (SPRING) 6,6,1,1.0,S-8
91A,JAR,1/- PALAKOVA (12),12,12,1.0,
119C,PACK,200 GM VAMU (30),30,30,,S-8
92,JAR,1/- KOVA LADDU (12),12,12,1.0,
119D,PACK,200 GM FLOWER (30),30,30,,
93,JAR,1/- BULLET (95) 15,15,95,1.0,
119E,PACK,200 GM GARUKU (30),30,30,,
93A,JAR,1/- BULLET (12),12,12,1.0,
119F,PACK,SMALL FLOWER (50),50,50,,
93B,JAR,2/- B.L.D (47) 15,15,47,2.0,
119G,PACK,SMALL GARAKU (50),50,50,,S-8
93C,JAR,2/- PALAKOVA,15,1,2.0,
119H,PACK,SMALL VAMU (50),50,50,,S-8
94,JAR,1/- KALAJAM (12),12,12,1.0,
120,JAR,5/- R.K. BISCUITS (PALLILU) 6,6,1,5.0,
96,JAR,2/- CHEKKALU (6),6,6,2.0,
121,JAR,5/- R.K. BISCUITS (MIX) 6,6,1,5.0,
97,JAR,2/- CHEKODI (6),6,6,2.0,
123,JAR,5/- R.K. BISCUITS (CRUNCH),6,1,5.0,
98,PACK,5/- ARISELU (12) 25,25,12,5.0,
124,JAR,5/- R.K. BISCUITS (BADAM),6,1,5.0,
99,JAR,5/- ARISELU (6),6,6,5.0,
125,JAR,5/- R.K. BISCUITS (CHERRY),6,1,5.0,
100,JAR,5/- CHEKODI (38) 6,6,38,5.0,
126,JAR,5/- R.K. BISCUITS (CHOCOLATE) 6,6,1,5.0,
101,LB,5/- COBARI ACHULU (12) 25,25,12,5.0,
127,JAR,5/- R.K. BISCUITS (COLOUR MOON) 6,6,1,5.0,
102,JAR,1/- SWEET GULABI (6),6,6,1.0,
128,JAR,5/- R.K. BISCUITS (FRUIT) 6,6,1,5.0,
103,JAR,5/- COBBARI ACHULU (8),8,8,5.0,
129,JAR,5/- R.K. BISCUITS (MILK),6,1,5.0,
104,JAR,5/- COBBARI VUNDALU (8),8,8,5.0,
130,JAR,5/- R.K. BISCUITS (NOOGU),6,1,5.0,
104A,JAR,5/- COBBARI UNDALU (40) 12,12,40,5.0,
131,JAR,5/- R.K. BISCUITS (SALT),6,1,5.0,
105,PACK,5/- COBBARI UNDALU (50P),50,50,5.0,
132,JAR,5/- R.K. BISCUITS (WHITE MOON) 6,6,1,5.0,
105A,PACK,5/- COBBARI UNDALU (70P),70,70,5.0,
133,JAR,5/- R.K. BISCUITS (CASHEW) 6,6,1,5.0,
106,JAR,5/- BEERAKAYA BISCUITS (6),6,6,5.0,
134,JAR,5/- R.K. BISCUITS (DOUBLE COLOUR) 6,6,1,5.0,
107,JAR,5/- JIM ZAM BISCUITS (6),6,6,5.0,
135,JAR,5/- R.K. BISCUITS (RAGI) 6,6,1,5.0,
108,JAR,5/- G.D (12) 50,50,12,5.0,
136,JAR,5/- COBARI BISCUITS (40) 6,6,40,5.0,
109,JAR,5/- KAJJI KAYA (6),6,6,5.0,
137,JAR,5/- DIL KUSH (30) 6J,6,30,5.0,
110,JAR,5/- KALA JAM (6),6,6,5.0,
138,JAR,5/- FRUIT CAKE (48) 6J,6,48,5.0,
111,PACK,DECCAN OSMANIA,30,1,,
139,JAR,5/- ROLL CAKE (40) 6,6,40,5.0,
112,PACK,OSMANIA (30),30,30,,
140,JAR,5/- SWEET TOMATOS (8),8,8,5.0,
